id,timein,timeout
1198,2017-10-06 15:04:48.778561,2017-10-06 18:43:42.342318
8384,2017-10-06 15:06:07.162911,2017-10-06 16:56:51.328131
0644,2017-10-06 15:06:33.540370,2017-10-06 17:28:57.844744
7527,2017-10-06 15:07:16.645897,2017-10-06 17:24:25.088989
6099,2017-10-06 15:07:21.680533,2017-10-06 18:38:28.459253
0115,2017-10-06 15:10:36.700287,2017-10-06 16:33:27.156053
7075,2017-10-06 15:17:17.643239,2017-10-06 18:43:47.294960
1312,2017-10-06 15:23:22.530783,2017-10-06 17:02:23.829703
7624,2017-10-06 16:00:48.961444, 
6467,2017-10-06 16:00:59.728798,2017-10-06 17:43:17.371404
1312,2017-10-06 17:03:03.218873,2017-10-06 17:19:03.162737
8715,2017-10-06 19:19:23.971108,2017-10-06 19:20:16.719901
8715,2017-10-06 19:20:32.231947,2017-10-06 19:20:47.471847
8715,2017-10-06 19:21:10.422946,2017-10-06 19:21:23.916652
8715,2017-10-06 19:21:28.305564,2017-10-06 19:21:35.984358
8715,2017-10-06 19:21:51.140344,2017-10-06 19:22:08.593269
8715,2017-10-06 19:22:25.292836, 
0904,2017-10-06 20:47:55.486966, 
8002,2017-10-07 12:29:03.035806, 
1953,2017-10-07 17:30:57.269615, 
2836,2017-10-07 18:14:17.438245,2017-10-07 18:15:28.339469
4703,2017-10-09 04:12:07.103265, 
7602,2017-10-09 04:34:28.717042, 
1312,2017-10-09 14:41:32.099557,2017-10-09 16:58:11.516655
8481,2017-10-09 14:57:43.786871,2017-10-09 16:48:07.558238
6099,2017-10-09 15:02:43.686299,2017-10-09 18:16:40.858221
6321,2017-10-09 15:02:51.465299, 
0644,2017-10-09 15:03:37.793371,2017-10-09 17:37:16.923576
1198,2017-10-09 15:04:04.126816, 
0047,2017-10-09 15:04:05.958995,2017-10-09 17:55:05.701334
8144,2017-10-09 15:08:21.390398, 
7527,2017-10-09 15:08:39.218765,2017-10-09 17:51:19.798232
0989,2017-10-09 15:09:28.949313,2017-10-09 16:22:34.355932
5051,2017-10-09 15:09:30.293459,2017-10-09 16:30:27.524900
8384,2017-10-09 15:10:15.855406,2017-10-09 17:45:30.300366
0115,2017-10-09 15:10:50.290001,2017-10-09 17:57:59.737514
8230,2017-10-09 15:18:29.170159,2017-10-09 16:45:09.987354
9528,2017-10-09 15:19:08.309289,2017-10-09 17:42:06.585173
7409,2017-10-09 15:31:21.297264, 
2184,2017-10-09 15:18:32.937120,2017-10-09 16:24:41.745207
7075,2017-10-09 15:20:07.897711,2017-10-09 16:50:46.667364
6237,2017-10-09 17:44:36.222330, 
0076,2017-10-10 02:42:28.335493, 
7320,2017-10-10 23:15:24.557616, 
1198,2017-10-11 15:06:32.635313,2017-10-11 17:15:52.958018
2184,2017-10-11 15:06:39.722201,2017-10-11 16:58:41.508888
2395,2017-10-11 15:07:56.324638,2017-10-11 17:50:42.385440
0338,2017-10-11 15:07:59.636692, 
0989,2017-10-11 15:08:04.469278,2017-10-11 16:24:35.987537
6099,2017-10-11 15:08:16.816954,2017-10-11 16:09:47.735166
8481,2017-10-11 15:08:19.535616,2017-10-11 17:15:01.437224
7527,2017-10-11 15:08:22.951764,2017-10-11 17:25:18.580057
0047,2017-10-11 15:08:28.994587,2017-10-11 17:10:55.661055
7075,2017-10-11 15:08:31.160688,2017-10-11 16:54:00.148159
0851,2017-10-11 15:09:03.070943,2017-10-11 16:36:47.281139
7409,2017-10-11 15:09:10.397833, 
0115,2017-10-11 15:10:05.125196,2017-10-11 18:06:49.197594
7624,2017-10-11 15:11:44.058056, 
6502,2017-10-11 15:22:22.617523, 
1312,2017-10-11 15:22:24.293722,2017-10-11 17:17:19.827391
8144,2017-10-11 15:23:32.826512, 
1110,2017-10-11 16:16:20.324778, 
9645,2017-10-11 16:35:19.695668,2017-10-11 17:50:23.825123
1807,2017-10-12 18:41:51.179983,2017-10-12 18:43:00.751081
1807,2017-10-12 18:43:23.252017,2017-10-12 18:44:00.495236
1807,2017-10-12 18:48:17.056352,2017-10-12 18:48:55.251372
1807,2017-10-12 18:52:59.337362,2017-10-12 18:53:38.128413
1807,2017-10-12 18:53:42.995042, 
2395,2017-10-13 15:05:51.706772,2017-10-13 16:46:46.022310
6099,2017-10-13 15:05:53.516762,2017-10-13 17:38:10.097173
8481,2017-10-13 15:05:55.295236, 
0047,2017-10-13 15:06:18.270189,2017-10-13 17:52:29.549330
8384,2017-10-13 15:07:12.603281, 
7409,2017-10-13 15:08:06.528374, 
0115,2017-10-13 15:08:08.992455,2017-10-13 16:33:52.405943
1281,2017-10-13 15:08:10.334176,2017-10-13 16:44:04.625402
0365,2017-10-13 15:08:11.749691,2017-10-13 17:00:18.208129
9500,2017-10-13 15:08:20.270128,2017-10-13 16:35:16.056943
7619,2017-10-13 15:08:27.621105, 
0851,2017-10-13 15:08:36.754286, 
8144,2017-10-13 15:09:07.280298,2017-10-13 18:00:44.632387
7527,2017-10-13 15:09:15.405363,2017-10-13 17:17:49.917565
5051,2017-10-13 15:11:29.836913,2017-10-13 17:00:15.185903
6640,2017-10-15 01:03:14.619119, 
8942,2017-10-15 01:09:18.996729, 
8642,2017-10-15 01:15:18.341654, 
